32 0.2739 0.2715 
64 0.2578 0.2553 
128 0.1532 0.1871 
200 0.2013 0.2295 
256 0.2210 0.2344 
512 0.2228 0.2514 
600 0.2500 0.2519 
1000 0.2396 0.2355 
2000 0.2138 0.1998 
4000 0.1950 0.1763 
